"ID_CLIENTE","NOME_CLIENTE","STATUS_PEDIDO","ORDER_ID","TOTAL_PEDIDO","NOME_PRODUTO"
2,"Roy White","COMPLETE",5,16.95,"Women's Jacket (Blue)"
49,"Kaija Crawford","COMPLETE",19,39.16,"Boy's Coat (Brown)"
49,"Kaija Crawford","COMPLETE",19,193.56,"Boy's Sweater (Red)"
144,"Sharla Topper","COMPLETE",21,122.76,"Boy's Shorts (Blue)"
126,"Nella Rupnick","COMPLETE",26,52.28,"Women's Skirt (Brown)"
206,"Casey Chestand","COMPLETE",30,198.9,"Men's Shorts (Black)"
32,"Cheryl Young","COMPLETE",32,37.92,"Boy's Hoodie (Grey)"
65,"Domingo Morano","COMPLETE",33,57.48,"Boy's Socks (Black)"
162,"Chet Morano","COMPLETE",44,30.33,"Boy's Jeans (Black)"
135,"Marc Domanski","COMPLETE",50,16.95,"Women's Jacket (Blue)"
162,"Chet Morano","COMPLETE",61,138.2,"Girl's Trousers (Red)"
200,"Jessika Doorn","COMPLETE",62,33.34,"Boy's Sweater (Green)"
219,"Carol Barnes","COMPLETE",64,41.32,"Men's Pyjamas (Blue)"
249,"Marissa Pontius","COMPLETE",76,28.21,"Girl's Shorts (Green)"
44,"Kris Krill","COMPLETE",80,97.9,"Boy's Coat (Brown)"
67,"Roberto Sipaia","COMPLETE",84,186.7,"Women's Pyjamas (Grey)"
151,"Alex Binette","COMPLETE",86,186.7,"Women's Pyjamas (Grey)"
226,"Bert Takes","COMPLETE",98,112.02,"Women's Pyjamas (Grey)"
62,"Nus Biollix","COMPLETE",103,186.7,"Women's Pyjamas (Grey)"
206,"Casey Chestand","COMPLETE",110,57.36,"Men's Coat (Red)"
322,"Florencia Kohler","CANCELLED",116,159.56,"Women's Sweater (Brown)"
278,"Jewel Ginnery","COMPLETE",118,104.56,"Women's Skirt (Brown)"
202,"Loyd Huckeba","COMPLETE",122,50.55,"Boy's Jeans (Black)"
219,"Carol Barnes","COMPLETE",124,59.1,"Women's Shirt (Green)"
216,"Ruth Robinson","COMPLETE",127,119.73,"Boy's Coat (Blue)"
206,"Casey Chestand","COMPLETE",131,12.64,"Boy's Hoodie (Grey)"
345,"Mireille Pauley","COMPLETE",133,50.55,"Boy's Jeans (Black)"
123,"erda Sheer","COMPLETE",141,97.84,"Women's Jacket (Black)"
135,"Marc Domanski","COMPLETE",142,7.18,"Girl's Dress (Red)"
274,"Broderick Dourado","COMPLETE",151,44,"Boy's Trousers (Blue)"
160,"Laveta Wida","COMPLETE",154,28.68,"Men's Coat (Red)"
314,"Landon Neville","COMPLETE",166,63.36,"Men's Jeans (Grey)"
273,"Elden Arancibia","COMPLETE",171,28.68,"Men's Coat (Red)"
172,"Cathey Salen","COMPLETE",175,74.13,"Boy's Shirt (Black)"
22,"Raymond Bailey","COMPLETE",184,12.64,"Boy's Hoodie (Grey)"
32,"Cheryl Young","COMPLETE",186,37,"Boy's Pyjamas (Grey)"
93,"Lecia Alvino","COMPLETE",187,119.73,"Boy's Coat (Blue)"
315,"Lillia Talbott","COMPLETE",190,41.91,"Girl's Coat (Blue)"
1,"Tammy Bryant","COMPLETE",201,57.36,"Men's Coat (Red)"
98,"Fidel Creps","COMPLETE",215,37,"Boy's Pyjamas (Grey)"
315,"Lillia Talbott","COMPLETE",217,14.34,"Men's Coat (Red)"
183,"Jewel Clippard","COMPLETE",218,41.32,"Men's Pyjamas (Blue)"
240,"Edmund Hikel","COMPLETE",220,13.97,"Girl's Coat (Blue)"
105,"Sandy Heffren","COMPLETE",224,87.42,"Girl's Shorts (Red)"
184,"Rudolph Bekerman","COMPLETE",225,199.45,"Women's Sweater (Brown)"
63,"Eva Ogatius","COMPLETE",233,29.55,"Women's Shirt (Green)"
77,"Paz Montilla","COMPLETE",242,97.84,"Women's Jacket (Black)"
386,"Andrea James","COMPLETE",256,25.28,"Boy's Hoodie (Grey)"
135,"Marc Domanski","COMPLETE",257,104.56,"Women's Skirt (Brown)"
162,"Chet Morano","COMPLETE",258,112.02,"Women's Pyjamas (Grey)"
272,"Dagny Bumatay","COMPLETE",259,30.99,"Men's Pyjamas (Blue)"
101,"Carolyne Centore","COMPLETE",263,42.32,"Women's Jeans (Brown)"
25,"Walter Turner","COMPLETE",270,147.45,"Women's Skirt (Red)"
293,"Diana Fowler","COMPLETE",273,57.18,"Women's Skirt (Green)"
219,"Carol Barnes","COMPLETE",281,196.48,"Women's Trousers (Blue)"
41,"Jeremy Howard","COMPLETE",581,198.9,"Men's Shorts (Black)"
215,"Donna Foster","COMPLETE",582,78.32,"Boy's Coat (Brown)"
131,"Erasmo Riviera","COMPLETE",586,76.56,"Boy's Socks (Grey)"
82,"August Rupel","COMPLETE",587,40.96,"Men's Hoodie (Red)"
284,"Zavert Zimmer","COMPLETE",589,16.64,"Boy's Trousers (Black)"
35,"Joshua Nelson","COMPLETE",591,97.5,"Girl's Hoodie (White)"
152,"Ali Brengle","COMPLETE",593,69.96,"Women's Jeans (Red)"
358,"Gita Dobbs","COMPLETE",594,153.36,"Girl's Pyjamas (White)"
269,"Shon Capetl","COMPLETE",597,21.16,"Women's Jeans (Brown)"
203,"Leon Schoepfer","COMPLETE",598,74.13,"Boy's Shirt (Black)"
43,"Michael Marker","COMPLETE",599,147.36,"Women's Trousers (Blue)"
147,"Jonell Pecatoste","COMPLETE",600,98.84,"Boy's Shirt (Black)"
346,"Hassie Grogan","COMPLETE",604,19.6,"Girl's Jeans (Grey)"
187,"Scotty R Goffredo","COMPLETE",609,185,"Boy's Pyjamas (Grey)"
274,"Broderick Dourado","COMPLETE",611,126.72,"Men's Jeans (Grey)"
274,"Broderick Dourado","COMPLETE",611,13.09,"Women's Socks (Grey)"
369,"Chris Powell","COMPLETE",612,27.94,"Girl's Coat (Blue)"
338,"Mohammad Cervantes","COMPLETE",615,78.64,"Women's Coat (Black)"
265,"Anderson Keaffaber","COMPLETE",617,159.56,"Women's Sweater (Brown)"
120,"Coralee Acerno","COMPLETE",624,87.42,"Girl's Shorts (Red)"
120,"Coralee Acerno","COMPLETE",624,153.36,"Girl's Pyjamas (White)"
98,"Fidel Creps","COMPLETE",632,153.36,"Girl's Pyjamas (White)"
185,"Laurice Grimstead","COMPLETE",634,79.78,"Women's Sweater (Brown)"
237,"Barry Tolliver","COMPLETE",637,42.32,"Women's Jeans (Brown)"
390,"Pamela Alexander","COMPLETE",644,102.18,"Girl's Pyjamas (Black)"
215,"Donna Foster","COMPLETE",648,117.96,"Women's Coat (Black)"
215,"Donna Foster","COMPLETE",648,148,"Boy's Pyjamas (Grey)"
197,"Hung Pedroncelli","COMPLETE",655,122.76,"Boy's Shorts (Blue)"
70,"Santiago Vautus","COMPLETE",656,63.48,"Women's Jeans (Brown)"
41,"Jeremy Howard","COMPLETE",662,52.4,"Boy's Socks (White)"
41,"Jeremy Howard","COMPLETE",662,114.84,"Boy's Socks (Grey)"
352,"Maryalice Evers","COMPLETE",663,14.36,"Girl's Dress (Red)"
265,"Anderson Keaffaber","COMPLETE",671,69.96,"Women's Jeans (Red)"
155,"Latoria Siprasoeuth","COMPLETE",674,31.44,"Boy's Socks (White)"
189,"Norman Lobregat","COMPLETE",688,59.02,"Boy's Jeans (Blue)"
333,"Ericka Oconner","COMPLETE",693,41.92,"Boy's Socks (White)"
97,"Inez Yamnitz","COMPLETE",694,16.64,"Boy's Trousers (Black)"
299,"Vickie James","COMPLETE",695,97.84,"Women's Jacket (Black)"
372,"Gerald Evans","COMPLETE",701,28.68,"Men's Coat (Red)"
354,"Dede Bundy","COMPLETE",703,49.92,"Boy's Trousers (Black)"
239,"Luciano Lingenfelter","COMPLETE",705,196.6,"Women's Coat (Black)"
361,"Frank Perez","COMPLETE",706,149.36,"Women's Pyjamas (Grey)"
203,"Leon Schoepfer","COMPLETE",708,57.18,"Women's Skirt (Green)"
15,"Walter Rogers","COMPLETE",290,199.55,"Boy's Coat (Blue)"
108,"Carter Sacarello","COMPLETE",291,34.64,"Women's Dress (Black)"
202,"Loyd Huckeba","COMPLETE",294,147.36,"Women's Trousers (Blue)"
343,"Gisela Costello","COMPLETE",296,33.28,"Boy's Trousers (Black)"
385,"Theresa Wilson","COMPLETE",299,17.32,"Women's Dress (Black)"
266,"Love Whistlehunt","CANCELLED",304,39.16,"Boy's Coat (Brown)"
67,"Roberto Sipaia","COMPLETE",309,24.71,"Boy's Shirt (Black)"
277,"Broderick Faur","COMPLETE",312,110.56,"Girl's Trousers (Red)"
178,"Jacklyn Clippard","COMPLETE",320,29.4,"Girl's Jeans (Grey)"
178,"Jacklyn Clippard","COMPLETE",320,45.96,"Girl's Pyjamas (Red)"
283,"James Smith","COMPLETE",321,73.38,"Women's Jacket (Black)"
392,"Adam Miller","COMPLETE",327,26.18,"Women's Socks (Grey)"
287,"Kristina Nunez","COMPLETE",328,49,"Girl's Jeans (Grey)"
327,"Jules Ruffin","COMPLETE",330,88.65,"Women's Shirt (Green)"
257,"Chong Carpinelli","COMPLETE",339,68.94,"Girl's Pyjamas (Red)"
14,"Elizabeth Martinez","COMPLETE",349,41.92,"Boy's Socks (White)"
322,"Florencia Kohler","COMPLETE",350,74,"Boy's Pyjamas (Grey)"
309,"Gary Barton","COMPLETE",352,14.36,"Girl's Dress (Red)"
181,"Scotty Goffredo","COMPLETE",356,58.74,"Boy's Coat (Brown)"
147,"Jonell Pecatoste","COMPLETE",357,40.44,"Boy's Jeans (Black)"
323,"Lucila Heck","COMPLETE",362,218.55,"Girl's Shorts (Red)"
392,"Adam Miller","COMPLETE",369,79.56,"Men's Shorts (Black)"
361,"Frank Perez","COMPLETE",371,76.64,"Boy's Socks (Black)"
361,"Frank Perez","COMPLETE",371,40.96,"Men's Hoodie (Red)"
360,"Shirley Ward","COMPLETE",373,51.65,"Men's Pyjamas (Blue)"
360,"Shirley Ward","COMPLETE",373,57.36,"Men's Coat (Red)"
291,"Opal Cruz","COMPLETE",374,98.84,"Boy's Shirt (Black)"
